match_id,date,venue,team1,team2,stage,toss_winner,toss_decision,first_ings_score,first_ings_wkts,second_ings_score,second_ings_wkts,match_result,match_winner,wb_runs,wb_wickets,balls_left,player_of_the_match,top_scorer,highscore,best_bowling,best_bowling_figure,super_over_match
1,"March 28, 2026","M. Chinnaswamy Stadium, Bangalore",RCB,SRH,League,RCB,Bowl,201,9,203,4,completed,RCB,,6,26,Jacob Duffy,Ishan Kishan,80,Jacob Duffy,3--22,No
2,"March 29, 2026","Wankhede Stadium, Mumbai",MI,KKR,League,MI,Bowl,220,4,224,4,completed,MI,,6,5,Shardul Thakur,Ryan Rickelton,81,Shardul Thakur,3--39,No
3,"March 30, 2026","Barsapara Stadium, Guwahati",RR,CSK,League,RR,Bowl,127,10,128,2,completed,RR,,8,47,Nandre Burger,Vaibhav Sooryavanshi,52,Jofra Archer,2--19,No
4,"March 31, 2026","New PCA Cricket Stadium, Mullanpur",PBKS,GT,League,PBKS,Bowl,162,6,165,7,completed,PBKS,,3,5,Cooper Connolly,Cooper Connolly,72,Prasidh Krishna,3--29,No
5,"April 01, 2026","Ekana Cricket Stadium, Lucknow",LSG,DC,League,DC,Bowl,141,10,145,4,completed,DC,,6,17,Sameer Rizvi,Sameer Rizvi,70,Lungi Ngidi,3--27,No
6,"April 02, 2026","Eden Gardens, Kolkata",KKR,SRH,League,KKR,Bowl,226,8,161,10,completed,SRH,65,,24,Nitish Kumar Reddy,Angkrish Raghuvanshi,52,Blessing Muzarabani,4--41,No
7,"April 03, 2026","MA Chidambaram Stadium, Chennai",CSK,PBKS,League,PBKS,Bowl,209,5,210,5,completed,PBKS,,5,8,Priyansh Arya,Ayush Matre,73,Vijaykumar Vyshak,2--38,No
8,"April 04, 2026","Arun Jaitley Stadium, Delhi",DC,MI,League,DC,Bowl,162,6,164,4,completed,DC,,6,11,Sameer Rizvi,Sameer Rizvi,90,Mukesh Kumar,2--26,No
9,"April 04, 2026","Narendra Modi Stadium, Ahmedabad",GT,RR,League,RR,Bat,210,6,204,8,completed,RR,6,,0,Ravi Bishnoi,Dhruv Jurel,75,Ravi Bishnoi,4--41,No
10,"April 05, 2026","Rajiv Gandhi International Stadium, Hyderabad",SRH,LSG,League,LSG,Bowl,156,9,160,5,completed,LSG,,5,1,Mohammed Shami,Rishabh Pant,68,Mohammed Shami,2--9,No
11,"April 05, 2026","M. Chinnaswamy Stadium, Bangalore",RCB,CSK,League,CSK,Bowl,250,3,207,10,completed,RCB,43,,2,Tim David,Tim David,70,Bhuvneshwar Kumar,3--41,No
12,"April 06, 2026","Eden Gardens, Kolkata",KKR,PBKS,League,KKR,Bat,,,,,abandoned,,,,,,,,,,No
13,"April 07, 2026","Barsapara Stadium, Guwahati",RR,MI,League,MI,Bowl,150,3,123,9,completed,RR,27,,0,Yashasvi Jaiswal,Yashasvi Jaiswal,77,Sandeep Sharma,2--26,No
14,"April 08, 2026","Arun Jaitley Stadium, Delhi",DC,GT,League,DC,Bowl,210,4,209,8,completed,GT,1,,0,Rashid Khan,KL Rahul,92,Rashid Khan,3--17,No
15,"April 09, 2026","Eden Gardens, Kolkata",KKR,LSG,League,LSG,Bowl,181,4,182,7,completed,LSG,,3,0,Mukul Choudhary,Mukul Choudhary,54,Anukul Roy,2--32,No
16,"April 10, 2026","Barsapara Stadium, Guwahati",RR,RCB,League,RR,Bowl,201,8,202,4,completed,RR,,6,12,Vaibhav Sooryavanshi,Dhruv Jurel,81,Krunal Pandya,2--30,No
17,"April 11, 2026","New PCA Cricket Stadium, Mullanpur",PBKS,SRH,League,PBKS,Bowl,219,6,223,4,completed,PBKS,,6,7,Shreyas Iyer,Abhishek Sharma,74,Shivang Kumar,3--33,No
18,"April 11, 2026","MA Chidambaram Stadium, Chennai",CSK,DC,League,DC,Bowl,212,2,189,10,completed,CSK,23,,0,Sanju Samson,Sanju Samson,115,Jamie Overton,4--18,No
19,"April 12, 2026","Ekana Cricket Stadium, Lucknow",LSG,GT,League,GT,Bowl,164,8,165,3,completed,GT,,7,8,Prasidh Krishna,Jos Buttler,60,Prasidh Krishna,4--28,No
20,"April 12, 2026","Wankhede Stadium, Mumbai",MI,RCB,League,MI,Bowl,240,4,222,5,completed,RCB,18,,0,Phil Salt,Phil Salt,78,Suyash Sharma,2--47,No
21,"April 13, 2026","Rajiv Gandhi International Stadium, Hyderabad",SRH,RR,League,RR,Bowl,216,6,159,10,completed,SRH,57,,6,Praful Hinge,Ishan Kishan,91,Sakib Hussain,4--24,No
22,"April 14, 2026","MA Chidambaram Stadium, Chennai",CSK,KKR,League,KKR,Bowl,192,5,160,7,completed,CSK,32,,0,Noor Ahmad,Sanju Samson,48,Noor Ahmad,3--21,No
23,"April 15, 2026","M. Chinnaswamy Stadium, Bangalore",RCB,LSG,League,RCB,Bowl,146,10,149,5,completed,RCB,,5,29,Josh Hazlewood,Virat Kohli,49,Rasikh Salam,4--24,No
24,"April 16, 2026","Wankhede Stadium, Mumbai",MI,PBKS,League,PBKS,Bowl,195,6,198,3,completed,PBKS,,7,21,Arshdeep Singh,Quinton de Kock,112,Arshdeep Singh,3--22,No
25,"April 17, 2026","Narendra Modi Stadium, Ahmedabad",GT,KKR,League,KKR,Bat,180,10,181,5,completed,GT,,5,2,Shubman Gill,Shubman Gill,86,Kagiso Rabada,3--29,No
